start_date,effort_score,Charge_aigue,Charge_chronique,Ratio_AC
2025-05-27 17:04:45.000000,35.87,15.442857142857141,25.33857142857143,0.609460449906974
2025-05-28 10:15:09.000000,37.41,17.39428571428571,24.957500000000003,0.6969562542035744
2025-05-29 15:30:22.000000,21.23,17.77,24.727857142857143,0.7186227216268523
2025-05-31 15:43:04.000000,65.47,26.185714285714287,25.677857142857142,1.0197780188600518
2025-06-01 06:44:47.000000,83.24,37.298571428571435,28.365,1.3149505174888574
2025-06-03 19:56:23.000000,11.92,38.35428571428571,26.4025,1.4526762887713554
2025-06-04 14:13:13.000000,33.31,41.207142857142856,27.017142857142858,1.525222081218274
2025-06-05 17:45:58.000000,3.92,36.642857142857146,27.063214285714288,1.3539728413634744
2025-06-05 18:21:13.000000,27.09,35.16857142857143,25.56357142857143,1.3757299728967003
2025-06-08 15:58:25.000000,31.58,36.64714285714286,26.599285714285713,1.3777491339724484
2025-06-09 18:33:47.000000,21.73,30.398571428571426,26.9425,1.1282758255013985
2025-06-10 07:56:54.000000,58.86,26.915714285714284,27.70607142857143,0.9714735037446665
2025-06-12 12:25:53.000000,112.59,41.297142857142866,30.725357142857142,1.3440736478711166
2025-06-15 18:29:01.000000,0.87,36.66285714285714,30.4775,1.2029483108147696
2025-06-15 18:33:52.000000,8.69,37.34428571428571,29.021785714285716,1.286767329961482
2025-06-16 18:51:20.000000,12.45,35.25285714285714,28.852857142857143,1.2218151210575827
2025-06-17 16:33:43.000000,35.37,35.794285714285714,28.274642857142855,1.2659500562088697
2025-06-17 17:53:22.000000,12.3,34.44714285714286,28.183214285714286,1.2222574227313625
2025-06-18 14:18:35.000000,72.37,36.37714285714286,29.993928571428572,1.212816879606587
2025-06-19 19:28:53.000000,7.0,21.292857142857144,28.958214285714288,0.7352959313296252
2025-06-21 06:16:43.000000,46.21,27.77,29.585,0.9386513435862768
2025-06-22 08:01:26.000000,116.58,43.18285714285714,33.153214285714284,1.3025239957340917
2025-06-24 17:21:47.000000,42.44,47.46714285714285,33.82071428571429,1.403493209993875
2025-06-25 17:35:31.000000,61.22,51.160000000000004,35.34285714285714,1.4475343573160875
2025-06-26 16:25:44.000000,9.27,50.72714285714285,35.43964285714286,1.4313672138746962
2025-06-28 08:16:52.000000,58.92,48.80571428571428,37.34928571428571,1.3067375547438276
2025-06-29 08:57:03.000000,58.98,56.23142857142857,39.29392857142857,1.4310462357870626
2025-07-01 17:49:53.000000,8.18,50.798571428571435,39.109642857142866,1.298875870948889
2025-07-02 16:18:45.000000,39.4,39.77285714285714,39.23571428571428,1.0136901511014018
2025-07-03 10:07:21.000000,6.35,34.61714285714286,38.12642857142857,0.9079566105251327
2025-07-05 06:44:45.000000,28.55,29.949999999999996,38.38785714285715,0.7801946299983251
2025-07-06 08:38:38.000000,47.4,35.39714285714285,37.7425,0.9378589880676387
